==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=50, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset market1501
Dataset normal
=> Market1501 loaded
Dataset statistics:
  ==============================
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ==============================
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [9][40/93]	Time 0.296 (0.296)	Data 0.150 (0.151)	Loss 6.8029 (6.8594)	CLoss 6.5179 (6.4649)	MLoss 0.2850 (0.3946)	
Epoch: [9][50/93]	Time 0.296 (0.297)	Data 0.151 (0.152)	Loss 7.0820 (6.8652)	CLoss 6.5322 (6.4754)	MLoss 0.5498 (0.3898)	
Epoch: [9][60/93]	Time 0.293 (0.297)	Data 0.149 (0.152)	Loss 6.7000 (6.8636)	CLoss 6.5588 (6.4824)	MLoss 0.1412 (0.3812)	
Epoch: [9][70/93]	Time 0.296 (0.297)	Data 0.149 (0.152)	Loss 6.5453 (6.8836)	CLoss 6.4931 (6.4923)	MLoss 0.0522 (0.3913)	
Epoch: [9][80/93]	Time 0.289 (0.297)	Data 0.148 (0.152)	Loss 7.3522 (6.9048)	CLoss 6.4210 (6.4951)	MLoss 0.9312 (0.4098)	
Epoch: [9][90/93]	Time 0.316 (0.298)	Data 0.165 (0.153)	Loss 6.5610 (6.8815)	CLoss 6.4243 (6.4994)	MLoss 0.1367 (0.3821)	
Epoch: [10][10/93]	Time 0.297 (0.288)	Data 0.153 (0.144)	Loss 6.4073 (6.6644)	CLoss 6.3972 (6.4461)	MLoss 0.0101 (0.2182)	
Epoch: [10][20/93]	Time 0.305 (0.293)	Data 0.156 (0.148)	Loss 6.8469 (6.7874)	CLoss 6.4991 (6.4524)	MLoss 0.3478 (0.3350)	
Epoch: [10][30/93]	Time 0.295 (0.296)	Data 0.153 (0.150)	Loss 6.9511 (6.7677)	CLoss 6.4605 (6.4467)	MLoss 0.4906 (0.3210)	
Epoch: [10][40/93]	Time 0.302 (0.296)	Data 0.154 (0.150)	Loss 6.4492 (6.7270)	CLoss 6.4492 (6.4479)	MLoss 0.0000 (0.2791)	
Epoch: [10][50/93]	Time 0.302 (0.297)	Data 0.153 (0.151)	Loss 6.7735 (6.7458)	CLoss 6.5715 (6.4548)	MLoss 0.2020 (0.2910)	
Epoch: [10][60/93]	Time 0.303 (0.297)	Data 0.153 (0.151)	Loss 6.7757 (6.7559)	CLoss 6.5480 (6.4585)	MLoss 0.2277 (0.2974)	
Epoch: [10][70/93]	Time 0.300 (0.298)	Data 0.157 (0.152)	Loss 6.7463 (6.7569)	CLoss 6.5403 (6.4636)	MLoss 0.2060 (0.2933)	
Epoch: [10][80/93]	Time 0.304 (0.298)	Data 0.151 (0.152)	Loss 6.8593 (6.7739)	CLoss 6.5514 (6.4708)	MLoss 0.3078 (0.3031)	
Epoch: [10][90/93]	Time 0.299 (0.299)	Data 0.153 (0.152)	Loss 6.6111 (6.7806)	CLoss 6.5963 (6.4762)	MLoss 0.0147 (0.3044)	
