==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='dukemtmcreid', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'softmax', 'metric'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset dukemtmcreid
=> DukeMTMC-reID loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
  ------------------------------
  total    |  1404 |    36411
  ------------------------------
Initializing model: resnet50
Model size: 24.94643M
==> Start training
Epoch: [10][20/87]	Time 0.323 (0.308)	Data 0.183 (0.165)	Loss 6.7445 (6.8124F)	CLoss 6.5618 (6.5580)	MLoss 0.1826 (0.2544)	
Epoch: [10][30/87]	Time 0.310 (0.308)	Data 0.169 (0.166)	Loss 6.9758 (6.8289F)	CLoss 6.5927 (6.5727)	MLoss 0.3831 (0.2562)	
Epoch: [10][40/87]	Time 0.310 (0.309)	Data 0.171 (0.167)	Loss 6.7961 (6.8391F)	CLoss 6.6117 (6.5827)	MLoss 0.1844 (0.2565)	
Epoch: [10][50/87]	Time 0.308 (0.309)	Data 0.167 (0.168)	Loss 6.8870 (6.8522F)	CLoss 6.6487 (6.5963)	MLoss 0.2383 (0.2559)	
Epoch: [10][60/87]	Time 0.305 (0.310)	Data 0.163 (0.168)	Loss 6.7972 (6.8610F)	CLoss 6.6566 (6.6089)	MLoss 0.1406 (0.2521)	
Epoch: [10][70/87]	Time 0.314 (0.310)	Data 0.169 (0.168)	Loss 6.9545 (6.8765F)	CLoss 6.7205 (6.6223)	MLoss 0.2340 (0.2542)	
Epoch: [10][80/87]	Time 0.323 (0.310)	Data 0.184 (0.169)	Loss 7.0541 (6.8953F)	CLoss 6.7281 (6.6357)	MLoss 0.3260 (0.2597)	
Epoch: [11][10/87]	Time 0.306 (0.301)	Data 0.166 (0.160)	Loss 6.8122 (6.8038F)	CLoss 6.5353 (6.5335)	MLoss 0.2769 (0.2703)	
Epoch: [11][20/87]	Time 0.308 (0.306)	Data 0.169 (0.164)	Loss 6.7049 (6.8067F)	CLoss 6.5905 (6.5493)	MLoss 0.1144 (0.2574)	
Epoch: [11][30/87]	Time 0.306 (0.308)	Data 0.165 (0.165)	Loss 6.8306 (6.8345F)	CLoss 6.5969 (6.5610)	MLoss 0.2337 (0.2735)	
Epoch: [11][40/87]	Time 0.305 (0.309)	Data 0.165 (0.166)	Loss 6.9220 (6.8400F)	CLoss 6.6311 (6.5751)	MLoss 0.2909 (0.2648)	
Epoch: [11][50/87]	Time 0.313 (0.309)	Data 0.169 (0.167)	Loss 6.8326 (6.8525F)	CLoss 6.6573 (6.5914)	MLoss 0.1753 (0.2611)	
Epoch: [11][60/87]	Time 0.317 (0.310)	Data 0.173 (0.168)	Loss 6.9473 (6.8656F)	CLoss 6.6795 (6.6046)	MLoss 0.2678 (0.2610)	
Epoch: [11][70/87]	Time 0.329 (0.310)	Data 0.180 (0.168)	Loss 6.8640 (6.8815F)	CLoss 6.6864 (6.6180)	MLoss 0.1776 (0.2635)	
Epoch: [11][80/87]	Time 0.309 (0.310)	Data 0.170 (0.168)	Loss 6.9815 (6.8939F)	CLoss 6.7309 (6.6308)	MLoss 0.2506 (0.2631)	
Epoch: [12][10/87]	Time 0.309 (0.301)	Data 0.169 (0.159)	Loss 6.6489 (6.7644F)	CLoss 6.5218 (6.5359)	MLoss 0.1271 (0.2285)	
Epoch: [12][20/87]	Time 0.310 (0.306)	Data 0.168 (0.164)	Loss 6.7773 (6.7696F)	CLoss 6.5491 (6.5473)	MLoss 0.2282 (0.2223)	
Epoch: [12][30/87]	Time 0.313 (0.309)	Data 0.170 (0.167)	Loss 6.8470 (6.7747F)	CLoss 6.5770 (6.5590)	MLoss 0.2699 (0.2157)	
Epoch: [12][40/87]	Time 0.328 (0.310)	Data 0.177 (0.167)	Loss 6.8210 (6.7898F)	CLoss 6.6169 (6.5720)	MLoss 0.2040 (0.2177)	
Epoch: [12][50/87]	Time 0.316 (0.312)	Data 0.174 (0.169)	Loss 6.6826 (6.8016F)	CLoss 6.6509 (6.5860)	MLoss 0.0318 (0.2156)	
Epoch: [12][60/87]	Time 0.311 (0.312)	Data 0.170 (0.169)	Loss 6.8781 (6.8196F)	CLoss 6.6659 (6.5984)	MLoss 0.2123 (0.2211)	
Epoch: [12][70/87]	Time 0.317 (0.312)	Data 0.169 (0.169)	Loss 6.9065 (6.8299F)	CLoss 6.6968 (6.6128)	MLoss 0.2097 (0.2171)	
Epoch: [12][80/87]	Time 0.312 (0.312)	Data 0.169 (0.169)	Loss 7.0982 (6.8554F)	CLoss 6.7281 (6.6261)	MLoss 0.3701 (0.2294)	
Epoch: [13][10/87]	Time 0.317 (0.301)	Data 0.176 (0.159)	Loss 6.8023 (6.7940F)	CLoss 6.5636 (6.5366)	MLoss 0.2387 (0.2574)	
Epoch: [13][20/87]	Time 0.312 (0.308)	Data 0.168 (0.165)	Loss 6.7510 (6.8036F)	CLoss 6.5908 (6.5522)	MLoss 0.1602 (0.2514)	
Epoch: [13][30/87]	Time 0.310 (0.309)	Data 0.169 (0.166)	Loss 6.9661 (6.8079F)	CLoss 6.5970 (6.5630)	MLoss 0.3691 (0.2449)	
Epoch: [13][40/87]	Time 0.308 (0.309)	Data 0.168 (0.167)	Loss 6.7223 (6.8063F)	CLoss 6.5967 (6.5729)	MLoss 0.1256 (0.2334)	
Epoch: [13][50/87]	Time 0.305 (0.309)	Data 0.165 (0.167)	Loss 6.7719 (6.8153F)	CLoss 6.6025 (6.5847)	MLoss 0.1694 (0.2305)	
Epoch: [13][60/87]	Time 0.308 (0.310)	Data 0.167 (0.168)	Loss 7.0144 (6.8325F)	CLoss 6.6750 (6.5971)	MLoss 0.3393 (0.2353)	
Epoch: [13][70/87]	Time 0.305 (0.310)	Data 0.164 (0.168)	Loss 7.0875 (6.8382F)	CLoss 6.6937 (6.6086)	MLoss 0.3938 (0.2297)	
Epoch: [13][80/87]	Time 0.307 (0.310)	Data 0.167 (0.168)	Loss 6.8395 (6.8511F)	CLoss 6.7016 (6.6216)	MLoss 0.1379 (0.2296)	
Epoch: [14][10/87]	Time 0.313 (0.301)	Data 0.169 (0.159)	Loss 6.6535 (6.7917F)	CLoss 6.5025 (6.5248)	MLoss 0.1510 (0.2669)	
Epoch: [14][20/87]	Time 0.314 (0.306)	Data 0.168 (0.165)	Loss 6.7475 (6.7873F)	CLoss 6.5350 (6.5329)	MLoss 0.2126 (0.2544)	
Epoch: [14][30/87]	Time 0.324 (0.308)	Data 0.185 (0.166)	Loss 6.7944 (6.8146F)	CLoss 6.5864 (6.5503)	MLoss 0.2080 (0.2643)	
Epoch: [14][40/87]	Time 0.306 (0.309)	Data 0.164 (0.167)	Loss 6.8010 (6.8180F)	CLoss 6.6449 (6.5636)	MLoss 0.1561 (0.2544)	
Epoch: [14][50/87]	Time 0.312 (0.309)	Data 0.172 (0.168)	Loss 6.8139 (6.8179F)	CLoss 6.6290 (6.5771)	MLoss 0.1849 (0.2408)	
Epoch: [14][60/87]	Time 0.308 (0.310)	Data 0.168 (0.168)	Loss 6.8619 (6.8255F)	CLoss 6.6658 (6.5906)	MLoss 0.1961 (0.2349)	
Epoch: [14][70/87]	Time 0.305 (0.310)	Data 0.168 (0.168)	Loss 6.9742 (6.8383F)	CLoss 6.6636 (6.6025)	MLoss 0.3107 (0.2359)	
Epoch: [14][80/87]	Time 0.308 (0.310)	Data 0.168 (0.169)	Loss 6.9836 (6.8525F)	CLoss 6.7114 (6.6167)	MLoss 0.2722 (0.2358)	
Epoch: [15][10/87]	Time 0.316 (0.302)	Data 0.171 (0.161)	Loss 6.8261 (6.8210F)	CLoss 6.5213 (6.5258)	MLoss 0.3048 (0.2953)	
Epoch: [15][20/87]	Time 0.323 (0.307)	Data 0.182 (0.165)	Loss 6.6836 (6.8043F)	CLoss 6.5290 (6.5366)	MLoss 0.1547 (0.2678)	
Epoch: [15][30/87]	Time 0.305 (0.308)	Data 0.166 (0.166)	Loss 6.7709 (6.7910F)	CLoss 6.6095 (6.5476)	MLoss 0.1614 (0.2434)	
Epoch: [15][40/87]	Time 0.308 (0.308)	Data 0.168 (0.167)	Loss 6.8730 (6.7851F)	CLoss 6.6026 (6.5582)	MLoss 0.2703 (0.2269)	
Epoch: [15][50/87]	Time 0.335 (0.309)	Data 0.172 (0.167)	Loss 6.7235 (6.7928F)	CLoss 6.6292 (6.5716)	MLoss 0.0944 (0.2212)	
Epoch: [15][60/87]	Time 0.315 (0.310)	Data 0.171 (0.167)	Loss 6.8392 (6.7990F)	CLoss 6.6511 (6.5843)	MLoss 0.1881 (0.2147)	
Epoch: [15][70/87]	Time 0.315 (0.311)	Data 0.171 (0.168)	Loss 6.8925 (6.8122F)	CLoss 6.6833 (6.5973)	MLoss 0.2092 (0.2149)	
Epoch: [15][80/87]	Time 0.311 (0.311)	Data 0.170 (0.168)	Loss 6.8915 (6.8258F)	CLoss 6.7008 (6.6107)	MLoss 0.1908 (0.2151)	
Epoch: [16][10/87]	Time 0.314 (0.303)	Data 0.173 (0.160)	Loss 6.6272 (6.7001F)	CLoss 6.5238 (6.5143)	MLoss 0.1034 (0.1858)	
Epoch: [16][20/87]	Time 0.309 (0.307)	Data 0.169 (0.165)	Loss 6.7707 (6.7147F)	CLoss 6.5328 (6.5237)	MLoss 0.2380 (0.1911)	
Epoch: [16][30/87]	Time 0.309 (0.308)	Data 0.169 (0.166)	Loss 6.7428 (6.7256F)	CLoss 6.5682 (6.5338)	MLoss 0.1747 (0.1918)	
Epoch: [16][40/87]	Time 0.307 (0.308)	Data 0.169 (0.166)	Loss 6.8201 (6.7391F)	CLoss 6.6094 (6.5464)	MLoss 0.2107 (0.1927)	
Epoch: [16][50/87]	Time 0.310 (0.309)	Data 0.170 (0.168)	Loss 6.8465 (6.7668F)	CLoss 6.6308 (6.5605)	MLoss 0.2157 (0.2064)	
Epoch: [16][60/87]	Time 0.308 (0.310)	Data 0.169 (0.168)	Loss 6.8862 (6.7856F)	CLoss 6.6467 (6.5736)	MLoss 0.2395 (0.2120)	
Epoch: [16][70/87]	Time 0.304 (0.310)	Data 0.165 (0.168)	Loss 6.9888 (6.8043F)	CLoss 6.6982 (6.5892)	MLoss 0.2906 (0.2151)	
